"626","ztree_3c2b61","treemap","3","1","greater","greater","less","well established pathogenic and uncertain pathogenic in the high clinical importance category","dunno","dunno","","","","","diabetes","emphysema","","","1","1","1","7","1","7","1","none","the directions were unclear and the report was extremely confusing","379"
"635","ztree_0d54","treemap","3","3","greater","greater","dunno","SERPINA1-E366K, 
\
CYP2C9-R144C,
\
C3-R102G,
\
SERPINA1-E288V","dunno","dunno","","","","","","","","","5","2","1","6","6","6","4","I liked that the report was interactive and color coded.","The report used very scientific names and I think that could have been rephrased/reworded to make more sense to some without a strong science background.","509"
"638","ztree_67da","treemap","3","2","greater","greater","less","i don't know","less","equal","","","","","","","","eye","6","2","6","7","6","6","5","color coding was nice","simplify the categories by putting them in an easy to read table","687"
"644","ztree_3ad2","treemap","3","3","greater","greater","less","well-established pathogenic","less","greater","","","liver","","","emphysema","tuberculosis","eye","6","5","1","7","6","7","3","The way it was laid out so you could get more information on each indivdual variant and then go back to search another item in depth.","The color coding was confusing - depth of color wasn't always obvious,  may just be may computer!","659"
"648","ztree_038893","treemap","3","1","greater","greater","less","SERPINA1-E366K , BBS7-D412G , RYR2-G1885E","equal","greater","","","","","","emphysema","","","6","5","2","7","6","7","3","I liked how I could click on an area and it zoomed in. Using the color coding helped to make a distinction between the severity of the traits. ","Too many medical terms. People do not have the amount of knowledge that doctors do. Make it easier for the average person to understand. ","912"
"653","ztree_dbde3f","treemap","3","3","greater","greater","less","SERPINA1-E366K
\
BBS7-D412G
\
RYR2-G1885E
\

\
","dunno","greater","","","","","","emphysema","","","2","1","1","6","4","6","4","being able to drill down to get more detailed information","give laymans terms for what the genetic codes stand for.  
\

\
Too many clicks to get to information","660"
"655","ztree_4559","treemap","0","1","greater","greater","less","Well established pathogen and likely pathogen","dunno","dunno","","","","","","","","","1","5","4","5","3","7","5","None of them really, it was kind of annoying to maneuver.","Change it from mapping to just giving a list that is under their respected categories.","742"
"657","ztree_fbae47","treemap","3","2","greater","less","greater","ryr2","dunno","greater","","","","","","","","eye","1","1","1","1","7","6","1","Do not know of any.","Use a more tabular form.","251"
"658","ztree_a283","treemap","3","1","greater","greater","dunno","well established pathogenic variants.","dunno","dunno","","","liver","","","emphysema","","","5","3","2","5","5","6","4","Being able to click on something and learn more about it.","Use a little more everyday English for nonscientific people. Make it easier to expand the report and make it more accessible.","909"
"662","ztree_45a7","treemap","3","3","greater","greater","less","The variants of high clinical importance - particularly the PiZ allele","less","greater","","","liver","","","emphysema","","eye","5","3","1","4","2","7","4","Visual aspect","Need to use more lay terms, language is very inaccessible and asking people to constantly reference a glossary of terms, hold a passage in their mind, and actively work to comprehend it is unrealistic for many people.","604"
