"1","4681","29","female","some college","no","no","no","yes_able","20"
"3","2ba648","29","male","some college","no","no","no","yes_able","13"
"4","34f8","33","female","bachelor degree","no","no","no","yes_able","28"
"5","56d4","59","female","some college","no","no","no","yes_able","26"
"6","576fbb","66","male","some college","no","no","yes","yes_able","28"
"7","e6f1cb","38","female","some college","no","no","no","yes_able","22"
"8","581397","26","female","masters degree","no","no","no","yes_able","27"
"9","b2c611","23","male","bachelor degree","no","no","no","yes_able","27"
"10","a359","57","female","bachelor degree","no","no","no","yes_able","20"
"11","ebfcc5","35","male","masters degree","no","yes","no","yes_able","22"
"12","294d","38","female","high-school diploma","no","no","no","yes_able","30"
"13","8a6017","23","female","some college","no","no","no","yes_able","23"
"14","f8a6","40","male","masters degree","no","yes","no","yes_able","25"
"15","184a26","21","male","some college","no","yes","no","yes_able","20"
"16","26f8","51","female","some college","no","yes","no","yes_able","22"
"17","6610","34","female","masters degree","no","no","no","yes_able","26"
"18","e56546","37","female","some college","no","no","no","yes_able","16"
"19","547e6b","23","male","bachelor degree","no","no","no","yes_able","16"
"20","35cc","27","female","some college","no","no","no","dunno","23"
"21","fa3b","34","female","bachelor degree","no","no","no","yes_able","16"
"22","45a8","19","male","some college","no","no","no","yes_able","26"
"23","9f955f","27","male","bachelor degree","no","no","no","yes_able","17"
"24","abd0","30","male","bachelor degree","no","no","no","yes_able","15"
"25","8963","62","female","bachelor degree","no","yes","no","yes_able","31"
"26","6da35f","28","female","bachelor degree","no","no","no","yes_able","25"
"27","5a48d8","41","female","bachelor degree","no","yes","no","yes_able","21"
"28","bb97","45","male","bachelor degree","no","no","no","yes_able","36"
"29","8b4c","20","female","some college","no","yes","no","yes_able","21"
"30","d9a5","32","female","some college","no","no","no","yes_able","27"
"31","678152","32","female","some college","no","no","no","yes_able","19"
"32","5594","27","female","high-school diploma","no","no","no","yes_able","20"
"33","65a1d9","25","male","bachelor degree","yes","yes","no","yes_able","33"
"34","cb90d8","46","male","bachelor degree","no","no","no","yes_able","23"
"35","160b","40","female","high-school diploma","no","no","no","yes_able","26"
"36","0d13","51","male","bachelor degree","no","no","no","yes_able","17"
"37","4241","29","female","high-school diploma","no","no","no","yes_able","21"
"38","cd48","59","female","high-school diploma","no","no","no","yes_able","35"
"39","bf53","32","male","high-school diploma","no","no","no","yes_able","16"
"40","1e8c5e","30","female","bachelor degree","no","no","no","yes_able","20"
"41","440346","27","male","masters degree","no","no","no","yes_able","24"
"42","6cf640","58","female","bachelor degree","no","no","no","yes_able","25"
"43","d0d0ee","57","female","bachelor degree","no","yes","no","yes_able","20"
"44","052f","22","female","some college","no","no","no","yes_able","16"
"45","54c7","40","male","bachelor degree","no","yes","no","yes_able","18"
"46","2440","45","female","bachelor degree","no","no","no","yes_able","21"
"47","5f48","35","female","high-school diploma","no","no","no","yes_able","17"
"48","c8b320","41","female","bachelor degree","no","no","no","yes_able","37"
"49","5428ef","55","male","high-school diploma","no","no","no","dunno","11"
"50","2833","25","male","some college","no","yes","no","yes_able","18"
"51","2b7f6d","28","female","bachelor degree","no","no","no","yes_able","20"
"52","4952b4","27","male","bachelor degree","no","no","no","yes_able","14"
"53","1b4d","35","male","some college","no","no","no","yes_able","24"
"54","b767cf","27","male","some college","no","yes","no","yes_able","26"
"55","a47a","35","female","bachelor degree","no","yes","no","yes_able","32"
"56","b2dada","61","male","bachelor degree","no","no","no","yes_able","49"
"57","89ea","36","female","bachelor degree","no","yes","no","yes_able","16"
"58","488c","44","female","bachelor degree","no","yes","no","yes_able","22"
"59","d1111b","29","female","some college","no","no","no","yes_able","24"
"60","ee669b","20","male","some college","no","no","no","yes_able","12"
"61","3ee5d6","29","female","bachelor degree","no","no","no","dunno","32"
"62","f869","51","female","masters degree","no","no","no","yes_able","19"
"63","ec9495","61","female","bachelor degree","no","no","no","yes_able","23"
"64","d0a7","36","male","some college","no","no","no","yes_able","28"
"65","d88159","64","female","bachelor degree","yes","yes","no","yes_able","31"
"66","1d6fa3","53","female","some college","no","yes","no","yes_able","22"
"67","f68fbc","63","female","some college","no","yes","no","yes_able","34"
"68","02f5","43","male","some college","no","yes","no","yes_able","21"
"69","8cd2","34","male","some college","no","no","no","yes_able","19"
"70","0ff7","24","female","some college","no","yes","no","yes_able","25"
"71","f64e36","53","female","some college","no","no","no","yes_able","29"
"72","41df","65","male","doctoral degree","no","no","no","not_able","39"
"73","51adf8","34","female","some college","no","no","no","yes_able","16"
"74","aec5","29","male","bachelor degree","no","no","no","yes_able","28"
"75","c469","52","female","some college","no","no","no","yes_able","24"
"76","fa3f6b","25","male","some college","no","no","no","yes_able","19"
"77","18e6","43","female","some college","no","no","no","yes_able","21"
"78","01a5","28","male","bachelor degree","no","no","no","yes_able","48"
"79","4d42","44","male","some college","no","no","no","yes_able","37"
"80","7fb64a","33","female","some college","no","no","no","yes_able","34"
"83","f549db","45","female","some college","no","no","no","yes_able","20"
"84","e519","33","female","bachelor degree","no","no","no","yes_able","33"
"85","6528","26","male","some high-school","no","no","no","yes_able","15"
"86","008ad3","45","female","bachelor degree","no","no","no","yes_able","26"
"87","1fa842","29","female","bachelor degree","no","no","no","yes_able","19"
"88",\N,"57","female","bachelor degree","no","no","no","yes_able","22"
"89","44ab64","26","female","masters degree","no","yes","no","yes_able","26"
"90","9e1d","33","male","high-school diploma","no","no","no","yes_able","22"
"91","15d1","20","female","some college","no","no","no","yes_able","44"
"92","3f68","27","male","some college","no","yes","no","yes_able","15"
"93","3811d1","58","male","bachelor degree","no","yes","no","yes_able","35"
"94","adb38f","43","male","some college","no","no","no","yes_able","23"
"95","30b490","22","male","some college","no","yes","no","yes_able","23"
"96","8d6e","35","female","masters degree","no","yes","no","yes_able","26"
"97","b9d7c7","42","female","some high-school","no","no","no","yes_able","24"
"98","964321","28","female","some college","no","no","no","yes_able","27"
"99","138f83","52","male","bachelor degree","no","no","no","yes_able","25"
"100","bcfd66","24","male","high-school diploma","no","no","no","yes_able","13"
"101","3cd24b","27","male","some high-school","yes","no","no","yes_able","22"
"102","846b32","25","female","bachelor degree","no","yes","no","yes_able","19"
"103","371e","27","female","some college","no","no","no","not_able","50"
